niveau_intervention;representants_id
Européen;1030
Mondial;1030
Local;1031
National;1031
Local;1032
National;1032
Local;1033
National;1033
Local;1034
Local;1035
National;1035
Local;1036
National;1036
Européen;1036
Mondial;1036
Local;1037
National;1037
Européen;1037
Local;1038
National;1038
Local;1039
National;1039
Européen;1039
Mondial;1039
National;1040
Européen;1040
Local;1041
National;1041
Local;1042
National;1042
Européen;1042
National;1043
Européen;1043
Mondial;1043
Local;1044
National;1044
Européen;1044
Local;1045
National;1045
Local;1046
National;1046
Européen;1046
National;1047
Européen;1047
Local;1048
National;1049
Local;1050
Local;1051
National;1051
Européen;1051
Local;1052
National;1052
Européen;1052
Mondial;1052
National;1053
Local;1054
National;1054
Local;1055
National;1055
Européen;1055
Mondial;1055
Local;1056
National;1056
Européen;1056
Local;1057
National;1057
Local;1058
National;1058
Européen;1058
Mondial;1058
Local;1059
National;1059
Local;1060
Local;1061
National;1061
Européen;1061
Mondial;1061
Local;1062
Local;1063
National;1063
Européen;1063
Mondial;1063
National;1064
Local;1065
National;1065
Européen;1065
Local;1066
National;1066
Européen;1066
National;1067
Européen;1067
Mondial;1067
Local;1068
National;1068
Européen;1068
Mondial;1068
Local;1069
National;1069
National;1070
Européen;1070
Local;1071
National;1071
Européen;1071
Local;1072
National;1072
Européen;1072
Local;1073
National;1074
Européen;1074
National;1075
Européen;1075
Local;1076
National;1076
National;1077
Européen;1077
Local;1078
National;1078
Européen;1078
Local;1079
National;1079
Européen;1079
Mondial;1079
Local;1080
National;1080
Européen;1080
Mondial;1080
National;1081
Européen;1081
Local;1082
National;1082
Européen;1082
Mondial;1082
Local;1083
National;1083
National;1084
National;1085
Local;1086
National;1086
Local;1087
National;1087
Européen;1087
Mondial;1087
National;1088
National;1089
Local;1090
National;1090
Local;1091
National;1091
Européen;1091
National;1092
National;1093
Local;1094
National;1094
Local;1095
National;1095
Local;1096
National;1096
Local;1097
National;1097
Européen;1097
Mondial;1097
Local;1098
National;1098
Européen;1098
Mondial;1098
Local;1099
National;1099
Européen;1099
Local;1100
National;1100
National;1101
Européen;1101
Mondial;1101
Local;1102
National;1102
Local;1103
National;1103
Européen;1103
Mondial;1103
Local;1104
Local;1105
National;1105
Européen;1105
Mondial;1105
Local;1106
