activite_id;exercices_id;date_publication_activite;identifiant_fiche;objet_activite
103;81;2019-01-29;9SVFDXT3;Loi PACTE : Transmission de propositions d'évolution du projet de loi.
104;81;2019-01-29;FX3C8QPH;Budget 2019 : maintenir le prêt à taux zéro dans les zones B2 et C. Rendre éligibles les fenêtres au CITE.
105;81;2019-01-29;DC34PLQH;Proposition d'échanges sur la compétitivité économique, la cohésion sociale et territoriale, la transition écologique et la politique d'infrastructures.
106;81;2019-01-29;2Y3K198H;CITE : Limiter le crédit d'impôt au remplacement du simple vitrage, limiter le plafond de dépense par fenêtre éligible à 100€ , limiter à 15% le bénéfice du crédit d'impôt
107;81;2019-01-29;S0V2E9X3;Plan de rénovation énergétique : améliorer les conditions du CITE
108;81;2019-01-29;SQV7WZKH;Loi PACTE : Maintenir la présence des chambre de métiers et de l'artisanat à un niveau départemental.
109;81;2019-01-29;CLV1JI23;Caisses congés intempéries du btp : lutter contre le travail illégal et la concurrence sociale déloyale dans le secteur.
110;81;2019-01-29;JA3Y12RV;Confirmer un rendez-vous concernant la voie Léo et les projets de Travaux Publics dans le département.
111;81;2019-01-29;GJVDT9F3;Propositions d'amendements à la Loi ELAN à travers 12 propositions.
112;81;2019-01-29;KDVS70KH;Exprimer la position de la FFB sur le thème de la transition écologique.
113;81;2019-01-29;4UHQKDKH;Loi PACTE : proposition d'évolution du projet de loi par la FFB.
114;81;2019-01-29;40VEOWR3;Gazole non routier : annuler la suppression du taux réduit de la taxe intérieure de consommation sur les projets énergétiques (TICPE) sur le gazole non routier.
115;81;2019-01-29;IO3WTBU3;Carte d'identification professionnelle : Lutter contre le travail illégal
116;81;2019-01-29;5DHMJXDH;"Budget 2019 : Maintenir le prêt à taux zéro pour les zones B2 et 3 jusqu'au 31.12.2021.
Réintégrer les fenêtres dans le CITE."
117;82;2018-04-18;2EHLF2XH;Invitation à la Cérémonie des Voeux de la Fédération BTP Vaucluse.
118;82;2018-04-18;X2VRQPCH;Faire part de la position de la FBTP Vaucluse sur la stratégie logement du Gouvernement.
119;82;2018-04-18;POHZPZR3;Proposition de d'échanges sur les priorités de la FBTP84 pour la durée de la mandature parlementaire ainsi que les dossiers départementaux actuels concernant le BTP et les projets de travaux à l'étude
120;88;2019-03-21;X2VRP6E3;Préserver la stabilité fiscale pour le secteur des eaux minérales naturelles
121;88;2019-03-21;C5HAK0ZV;Présenter les enjeux du secteur de l'eau embouteillée dans le cadre de la PPL visant à la suppression progressive des bouteilles en plastique au profit du verre
122;88;2019-03-21;POHZZE2H;Faire établir dans le PNNS un repère quantitatif de consommation journalière d'eau
123;88;2019-03-21;2PVXRDUV;Participer aux réflexions dans le cadre de l'élaboration et du suivi de la FREC
124;88;2019-03-21;K6VB0SRV;Défendre le retrait de l'interdiction des bouteilles d'eau plate en plastique dans la restauration collective
125;89;2018-04-20;KW3UQ9VO;Reconnaissance d'un repère quantitatif de consommation d'eau dans le prochain PNNS
126;89;2018-04-20;FY3GA73N;Sensibilisation aux enjeux de l'export aux Etats-Unis
127;89;2018-04-20;SQV7DQ3Y;Participation aux réflexions dans le cadre de l'élaboration de la FREC
128;89;2018-04-20;4UHQSC73;Défense de la stabilité fiscale pour le secteur des eaux minérales naturelles
129;91;2019-03-11;CLV1QL0H;Dans le cadre défini par l'article 3 du décret n°2017-867 du 9 mai 2017, aucune action de représentation d'intérêts n'a été menée par CACEIS.
130;92;2018-04-18;GJVD0M53;Dans le cadre défini par l’article 3 du décret n° 2017-867 du 9 mai 2017, aucune action de représentation d’intérêts n’a été menée par CACEIS.
131;99;2019-03-14;X2VRPBX3;Mobilisation des Parlementaires (Députés et Sénatrice) : vote PLF 2019 
132;100;2019-03-14;KQ3604P3;Sensibilisation des Parlementaires (Députés et Sénatrice) - Projet Baisse de la TFC 2019 (amendement)
133;100;2019-03-14;GJVDMAJV;Sensibilisation des Parlementaires et élus territoriaux - Projet de baisse de la TFC 2019 (courrier au 1er Ministre de CCI France)
134;101;2018-07-12;SQV7QQCH;Assises de la mobilité : diffusion des conclusions
135;101;2018-07-12;GJVDQQ73;Contestation de la réduction de la ressource fiscale affectée au CCI 
136;103;2019-03-31;GJVDOAJH;LFSS 2018 : Soutenir les mesures visant à faire passer le prix du paquet de cigarettes à 10 euros d'ici fin 2020, le nombre de vaccins obligatoires de 3 à 11 et à faire évoluer la Taxe soda
137;103;2019-03-31;S0V2NOO3;LFSS 2018 : Soutenir les mesures visant à prévoir un cadre d’expérimentation construisant de véritables parcours de santé, à pérenniser la télémédecine, et à reporter le financement des activités SSR
