action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
55;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
56;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
56;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
57;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
57;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
57;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
57;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
60;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
60;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
60;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
61;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
61;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
62;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
62;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
62;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
62;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
62;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
63;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
63;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
63;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
63;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
63;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
63;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
64;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
64;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
64;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
64;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
64;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
65;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
65;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
65;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
65;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
65;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
65;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
66;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
66;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
67;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
67;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
67;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
67;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
67;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Travail, emploi, formation professionnelle et dialogue social;;
68;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
68;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
69;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
69;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
70;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
70;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
70;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
70;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
71;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
71;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
71;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
71;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche, Outre-mer;;
72;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
72;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
72;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
72;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
72;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
72;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
72;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Education nationale, enseignement supérieur et recherche, Outre-mer;;
