action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
14273;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14273;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14274;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14274;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14274;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Economie et finances;;
14275;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14275;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
14277;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14277;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
14277;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14277;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14277;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14277;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
14279;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14279;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
14279;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
14279;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
14279;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14279;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14279;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Agriculture, agroalimentaire et forêt, Economie et finances;;
14279;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des jeux en ligne;
14279;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des jeux en ligne;;
14280;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14280;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
14281;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14281;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
14283;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14283;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
14283;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Justice;;
14285;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14285;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
14286;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14286;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
14286;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Justice;;
14287;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14287;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
14287;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14287;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14287;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Travail, emploi, formation professionnelle et dialogue social;;
14288;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14288;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
14289;Membre du Gouvernement ou membre de cabinet ministériel;Défense;
14289;Membre du Gouvernement ou membre de cabinet ministériel - Défense;;
14292;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
14292;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
14292;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14292;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14292;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
14292;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances, Outre-mer;;
14292;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14292;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14295;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14295;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14295;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14295;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
14296;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14296;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
14296;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14296;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14296;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
14296;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14296;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14297;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
14297;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
14298;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
14298;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14298;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
14299;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
14299;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
14301;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14301;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14301;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14301;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
14302;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14302;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14303;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
14303;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
14304;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
14304;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14304;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
14305;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14305;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
14305;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14305;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
14307;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14307;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14308;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14308;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14310;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14310;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14313;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14313;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14314;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;ministère de l'action et des comptes publics
14314;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;ministère de l'action et des comptes publics
14315;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14315;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14318;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14318;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14321;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;secrétariat d’État auprès du premier ministre chargé du numérique
14321;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;secrétariat d’État auprès du premier ministre chargé du numérique
14321;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;secrétariat d’État auprès du premier ministre chargé du numérique
14321;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;secrétariat d’État auprès du premier ministre chargé du numérique
14321;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances, Autres : à préciser;;secrétariat d’État auprès du premier ministre chargé du numérique
14326;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14326;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14326;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14327;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Secrétariat d'Etat chargé du Numérique
14327;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Secrétariat d'Etat chargé du Numérique
14327;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Secrétariat d'Etat chargé du Numérique
14328;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14328;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14329;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14329;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
14329;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
14331;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14331;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
14331;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
14331;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
14331;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes;;
14332;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
14332;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
14332;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
14332;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Justice, Défense;;
14333;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
14333;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
14333;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
14333;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Justice, Défense;;
14334;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14334;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14338;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;ministère des transports
14338;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;ministère des transports
14340;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14340;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
14340;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14340;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14340;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
14342;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14342;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14342;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14343;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
14343;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
14344;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14344;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14344;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14345;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14345;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14345;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14346;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14346;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14346;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14348;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14348;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14348;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14351;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14351;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
14351;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
14352;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
14352;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14352;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
14353;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14353;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
14353;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14353;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Education nationale, enseignement supérieur et recherche;;
14354;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14354;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14354;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14358;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14358;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14359;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14359;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14359;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14359;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14361;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Sous directeur Assurances à la DG Trésor
14361;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Sous directeur Assurances à la DG Trésor
14362;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;Directeur de cabinet adjoint d'Agnès Buzyn
14362;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur de cabinet adjoint d'Agnès Buzyn
14362;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Autres : à préciser;;Directeur de cabinet adjoint d'Agnès Buzyn
14366;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;"Conseiller Relations sociales, travail
Emploi et formation professionnelle d'Edouard Philippe"
14366;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;"Conseiller Relations sociales, travail
Emploi et formation professionnelle d'Edouard Philippe"
14366;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;"Conseiller Relations sociales, travail
Emploi et formation professionnelle d'Edouard Philippe"
14367;Membre du Gouvernement ou membre de cabinet ministériel;Justice;
14367;Membre du Gouvernement ou membre de cabinet ministériel - Justice;;
14369;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;SOUS-DIRECTEUR A LA DIRECTION GENERALE DU TRESOR 
14369;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;SOUS-DIRECTEUR A LA DIRECTION GENERALE DU TRESOR 
14370;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14370;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14370;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14370;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14373;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;conseiller économie, finances, industrie d'Emmanuel Macron
14373;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;conseiller économie, finances, industrie d'Emmanuel Macron
14375;Membre du Gouvernement ou membre de cabinet ministériel;Justice;
14375;Membre du Gouvernement ou membre de cabinet ministériel - Justice;;
14378;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Sous directeur Assurances à la DG Trésor
14378;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Sous directeur Assurances à la DG Trésor
14379;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;Conseiller spécial d'Agnès Buzyn
14379;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Conseiller spécial d'Agnès Buzyn
14379;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Autres : à préciser;;Conseiller spécial d'Agnès Buzyn
14383;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14383;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14383;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14383;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14385;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14385;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14389;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14389;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14389;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14390;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14390;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14390;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14390;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
14391;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14391;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14392;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14392;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14393;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14393;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14393;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14393;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
14394;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère des Transports
14394;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère des Transports
14394;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministère des Transports
14395;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère des Transports
14395;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère des Transports
14395;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministère des Transports
14396;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère des Transports
14396;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère des Transports
14396;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministère des Transports
14397;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14397;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14397;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14404;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14404;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14404;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14412;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;"Ministres du Travail et des
Comptes publics"
14412;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;"Ministres du Travail et des
Comptes publics"
14413;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministre de l'Action et des comptes publics, Directeur Général des Finances Publiques
14413;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministre de l'Action et des comptes publics, Directeur Général des Finances Publiques
14414;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Délégué interministériel à la Sécurité Routière
14414;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Délégué interministériel à la Sécurité Routière
14416;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14416;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14416;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14416;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
14416;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer, Outre-mer;;
14417;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14417;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14417;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
14417;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
14418;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14418;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
14418;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
14418;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14418;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Education nationale, enseignement supérieur et recherche;;
14419;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14419;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14419;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14419;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
14419;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer, Outre-mer;;
14419;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission nationale du débat public;
14419;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission nationale du débat public;;
14420;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14420;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
14420;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
14420;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14420;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Education nationale, enseignement supérieur et recherche;;
14421;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14421;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14421;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14421;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
14421;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer, Outre-mer;;
14422;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14422;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14422;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14423;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14423;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14423;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14424;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14424;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14424;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14425;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14425;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14425;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14426;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14426;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14426;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14427;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14427;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14427;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14428;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
14428;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14428;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
14429;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
14429;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
14429;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14429;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Agriculture, agroalimentaire et forêt;;
14434;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14434;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14434;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14434;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14435;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
14435;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14435;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
14436;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14436;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14437;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14437;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14438;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14438;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14439;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14439;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14440;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
14440;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
14441;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14441;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
